Cycle,Average Price,Volatility,Speculator Proportion,Model
0,100.033509,3.415595,50.0,5
1,98.118191,6.682738,55.0,5
2,91.878819,12.72037,60.0,5
3,86.763709,18.99215,65.0,5
4,78.908341,23.39483,70.0,5
5,59.80577,26.883466,75.0,5
6,39.162362,21.966965,80.0,5
7,18.59902,11.425795,85.0,5
8,5.651301,3.842429,90.0,5
9,1.791572,0.864653,95.0,5
0,99.990406,3.433862,50.0,2.5
1,98.728829,5.593636,52.5,2.5
2,94.996507,8.204336,55.0,2.5
3,95.027474,5.999125,57.5,2.5
4,92.090386,12.356849,60.0,2.5
5,86.090534,17.416625,62.5,2.5
6,78.395263,22.035981,65.0,2.5
7,69.569551,24.372385,67.5,2.5
8,64.37131,25.208276,70.0,2.5
9,52.673974,23.194405,72.5,2.5
0,100.001346,3.392233,50.0,1
1,98.914114,5.21521,51.0,1
2,96.432635,6.079137,52.0,1
3,97.091509,6.220629,53.0,1
4,96.175141,6.608158,54.0,1
5,94.195353,7.742088,55.0,1
6,92.101917,9.510873,56.0,1
7,89.641349,11.037409,57.0,1
8,87.048484,13.036214,58.0,1
9,84.542997,14.887706,59.0,1
